Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,1007.4,1007.8,1022.5,1032.7,1041.7,1055.3,1055.1,1055.2,1043.1,,,,
2020,1120.8,1119.9,1110.9,840.2,898.4,958.9,1003.2,1023.6,1034.6,1042.4,1048.7,1040.9,1020.2
2019,1120.2,1120.7,1132.0,1147.7,1156.9,1176.0,1173.4,1166.3,1152.3,1160.0,1164.2,1162.3,1152.7
2018,1112.8,1117.1,1126.5,1146.3,1161.4,1179.7,1173.6,1166.8,1152.1,1163.1,1166.4,1168.6,1152.9
2017,1107.2,1106.4,1117.8,1135.4,1156.0,1174.0,1169.8,1165.2,1156.0,1159.7,1165.1,1167.8,1148.4
2016,1088.5,1089.2,1105.8,1126.4,1137.5,1154.2,1155.7,1152.2,1143.3,1149.1,1153.2,1155.8,1134.2
2015,1073.3,1070.4,1081.9,1104.0,1124.2,1137.2,1138.0,1133.5,1125.1,1133.8,1135.1,1137.4,1116.2
2014,1059.2,1057.2,1070.9,1090.1,1107.8,1120.7,1120.6,1116.2,1108.4,1117.6,1120.8,1122.8,1101.0
2013,1039.5,1040.0,1053.4,1076.2,1089.9,1105.1,1104.2,1099.8,1096.5,1105.8,1109.5,1111.9,1086.0
2012,1026.8,1027.1,1040.3,1051.2,1067.2,1082.4,1076.6,1074.3,1072.4,1077.9,1072.5,1086.7,1063.0
2011,995.9,993.4,1007.2,1031.8,1045.3,1061.1,1060.7,1053.4,1051.6,1055.3,1059.6,1065.2,1040.0
2010,982.9,979.7,993.5,1014.8,1025.8,1039.0,1036.8,1034.5,1029.7,1034.9,1037.5,1040.8,1020.8
2009,1006.4,1003.2,1009.7,1013.5,1028.3,1038.4,1032.1,1029.0,1025.5,1024.9,1025.4,1029.1,1022.1
2008,1039.3,1037.3,1049.2,1060.4,1071.7,1081.5,1075.8,1072.8,1066.1,1066.1,1062.8,1062.3,1062.1
2007,1032.0,1029.1,1041.4,1056.7,1069.6,1083.8,1078.8,1073.7,1071.3,1074.5,1079.6,1086.5,1064.8
2006,1012.6,1010.7,1025.2,1038.0,1053.1,1069.3,1065.1,1062.2,1060.0,1065.9,1072.9,1079.7,1051.2
2005,1011.2,1010.7,1022.5,1042.0,1050.3,1064.4,1060.9,1058.9,1057.4,1053.6,1061.1,1069.5,1046.9
2004,1006.5,1007.8,1024.0,1033.4,1047.8,1063.5,1060.8,1060.5,1058.1,1061.7,1064.2,1070.2,1046.5
2003,996.3,994.2,1007.1,1017.1,1030.4,1042.8,1039.8,1038.4,1037.8,1043.9,1048.8,1053.3,1029.2
2002,992.6,992.3,1005.4,1015.5,1026.8,1038.3,1033.6,1033.5,1032.7,1036.8,1040.6,1045.3,1024.5
2001,1006.7,1006.6,1017.3,1018.9,1035.4,1046.9,1039.7,1037.9,1029.3,1033.4,1036.5,1043.4,1029.3
2000,991.0,993.2,1005.8,1021.1,1033.3,1045.4,1042.1,1041.3,1046.9,1048.3,1053.2,1063.6,1032.1
1999,970.4,972.5,982.3,1000.1,1009.9,1023.4,1016.7,1020.4,1012.4,1021.5,1028.2,1038.1,1008.0
1998,933.8,933.5,946.9,954.7,970.8,985.1,977.6,979.0,977.6,986.7,991.0,998.5,969.6
1997,911.3,908.2,923.7,932.1,943.5,957.6,953.3,956.6,956.2,960.7,966.8,974.7,945.4
1996,884.1,887.4,900.5,908.0,926.1,941.5,934.4,937.8,937.2,941.4,947.5,954.3,925.0
1995,889.6,887.9,899.0,904.9,916.7,930.8,924.8,926.9,928.6,924.3,926.8,932.6,916.1
1994,865.0,857.9,872.2,885.9,898.4,913.7,907.9,912.0,912.6,916.0,919.8,925.3,898.9
1993,856.2,853.9,859.2,872.5,887.4,901.1,893.5,897.2,897.8,900.4,901.4,906.3,885.6
1992,859.3,855.6,861.5,870.9,880.0,890.9,884.5,882.8,881.8,884.9,886.0,888.8,877.3
1991,886.0,881.0,887.5,889.8,900.9,910.9,898.7,898.4,897.5,896.9,898.2,901.4,895.6
1990,926.6,921.3,931.4,933.6,947.2,958.7,949.1,948.0,946.1,938.7,938.5,939.2,939.9
