Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,38.5,36.4,36.2,35.2,35.2,35.2,32.2,32.0,,,,,
2020,40.3,39.5,39.0,27.5,28.3,29.6,29.1,29.7,35.6,36.1,39.1,40.7,34.5
2019,38.6,38.0,38.1,38.2,38.7,39.7,36.1,35.3,39.9,40.4,41.4,42.3,38.9
2018,37.7,37.0,37.2,37.6,38.1,38.6,34.1,33.4,38.3,39.0,39.2,40.7,37.6
2017,37.7,37.5,37.6,36.7,38.2,38.4,34.1,33.9,38.7,38.7,39.3,40.6,37.6
2016,37.3,37.1,37.3,37.7,38.1,38.6,34.2,34.1,38.4,38.4,39.0,40.1,37.5
2015,36.6,36.0,36.4,36.2,37.3,37.6,33.6,33.1,37.7,38.1,38.7,40.0,36.8
2014,36.3,36.1,36.4,35.8,36.5,36.8,33.1,32.5,37.1,37.2,38.2,39.2,36.3
2013,34.3,34.3,34.4,34.8,35.2,35.9,32.3,31.1,36.8,37.0,37.8,38.6,35.2
2012,33.4,33.3,33.5,33.2,34.3,35.0,30.8,29.9,35.1,35.2,35.3,36.9,33.8
2011,32.4,32.2,32.6,32.9,33.2,33.5,29.3,29.1,33.2,33.6,34.1,34.8,32.6
2010,31.1,30.9,31.1,31.7,32.2,32.7,28.2,28.1,32.6,32.7,33.2,34.0,31.5
2009,32.2,32.1,32.0,31.8,32.3,32.3,28.6,28.2,31.7,31.8,32.2,33.2,31.5
2008,33.3,33.1,33.4,33.9,34.1,34.3,30.1,29.7,33.6,33.8,34.0,35.1,33.2
2007,32.4,32.2,32.5,32.6,33.4,33.8,29.9,28.7,33.7,34.3,34.4,35.2,32.8
2006,31.1,30.9,31.1,31.2,32.2,32.6,29.0,28.5,32.6,33.1,33.3,34.6,31.7
2005,31.9,31.8,32.2,32.5,32.8,33.0,29.3,29.1,32.4,32.2,32.5,33.3,31.9
2004,31.3,31.4,31.5,31.7,32.5,32.7,29.9,29.6,33.1,34.0,33.9,33.9,32.1
2003,31.2,31.0,31.3,31.1,31.7,31.8,29.0,28.6,31.8,33.3,33.4,33.4,31.5
2002,31.3,31.1,31.3,31.4,31.5,31.9,29.2,28.2,31.7,32.4,32.4,32.5,31.2
2001,32.4,32.3,32.4,30.8,33.1,33.3,30.7,29.6,32.8,33.4,33.2,33.2,32.3
2000,33.2,33.2,33.7,34.2,34.4,34.7,32.1,31.8,34.7,35.3,35.4,36.2,34.1
1999,32.1,32.2,32.6,33.2,33.5,33.9,31.4,31.3,33.7,34.0,34.3,35.2,33.1
1998,30.4,30.2,30.3,30.6,31.3,31.6,29.8,29.6,32.0,33.2,33.1,34.1,31.4
1997,30.4,30.3,30.6,30.9,31.2,31.7,29.2,29.1,31.8,32.0,31.8,32.0,30.9
1996,28.3,28.4,28.7,28.9,29.7,29.9,27.3,26.7,29.5,30.6,30.5,30.6,29.1
1995,29.2,29.1,29.3,29.8,30.0,30.4,27.4,27.1,29.6,30.4,30.3,30.4,29.4
1994,28.0,27.5,28.0,28.3,29.0,29.4,27.6,27.5,29.6,30.6,30.5,30.7,28.9
1993,28.1,27.8,28.0,28.7,29.4,29.7,26.4,26.5,28.8,29.7,29.5,29.6,28.5
1992,27.8,27.8,27.9,28.5,28.9,29.2,26.2,26.3,28.8,29.5,29.4,29.8,28.3
1991,28.8,28.1,28.3,28.7,29.1,29.2,26.0,25.9,28.9,29.3,29.2,29.8,28.4
1990,28.5,28.1,28.5,28.3,28.6,29.1,25.9,25.6,28.6,30.5,30.5,30.9,28.6
