Year,Quarter,Reporting Units,Month1 Employed,Month2 Employed,Month3 Employed,Average Employment,Total Wages,Average Wages
2021(p),Annual,68176,,,,48465,"$3,673,608,333","$75,799"
2021(p),1,57795,32666,34154,35636,34152,"$532,072,956","$15,580"
2021(p),2,69020,43458,45514,47276,45416,"$722,723,578","$15,913"
2021(p),3,68045,46992,48741,49688,48474,"$802,869,079","$16,563"
2021(p),4,77843,62998,65938,68513,65816,"$1,615,942,720","$24,552"
2020,Annual,45621,,,,23928,"$1,738,261,017","$72,645"
2020,1,38439,22202,22292,19924,21473,"$327,588,215","$15,256"
2020,2,40342,15943,16945,17177,16688,"$272,564,103","$16,333"
2020,3,48022,21682,23210,23085,22659,"$327,818,816","$14,467"
2020,4,55679,33791,34755,36130,34892,"$810,289,883","$23,223"
2019,Annual,40334,,,,24187,"$1,622,265,207","$67,072"
2019,1,32874,17253,17722,17889,17621,"$238,039,438","$13,509"
2019,2,38788,21624,21959,22010,21864,"$285,011,474","$13,036"
2019,3,41997,25641,25848,24527,25339,"$335,511,585","$13,241"
2019,4,47676,31433,32255,32079,31922,"$763,702,710","$23,924"
2018,Annual,30241,,,,17178,"$1,069,516,220","$62,261"
2018,1,24663,13239,13311,13003,13184,"$167,128,001","$12,677"
2018,2,28102,15300,15720,15408,15476,"$184,477,034","$11,920"
2018,3,31888,19065,18681,17707,18484,"$211,453,183","$11,440"
2018,4,36312,21796,21439,21465,21567,"$506,458,002","$23,483"
2017,Annual,26275,,,,19484,"$1,104,306,912","$56,678"
2017,1,22547,21978,22379,22603,22320,"$258,783,537","$11,594"
2017,2,23848,18113,18897,19191,18734,"$210,551,647","$11,239"
2017,3,27248,17325,17201,15884,16803,"$191,465,458","$11,395"
2017,4,31455,19700,20055,20478,20078,"$443,506,270","$22,089"
2016,Annual,33855,,,,47194,"$2,203,930,853","$46,699"
2016,1,31586,37407,39798,42299,39835,"$423,500,051","$10,631"
2016,2,31728,39749,42293,43638,41893,"$445,256,119","$10,628"
2016,3,34658,47163,48562,48963,48229,"$520,818,924","$10,799"
2016,4,37447,57217,58977,60265,58820,"$814,355,759","$13,845"
2015,Annual,38201,,,,36458,"$1,717,006,253","$47,095"
2015,1,29674,23250,23341,23054,23215,"$250,114,444","$10,774"
2015,2,34323,27392,28618,28592,28201,"$290,039,712","$10,285"
2015,3,40633,38249,40766,42329,40448,"$403,326,871","$9,971"
