Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2021,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,
2020,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.7
2019,4.7,4.7,4.6,4.7,4.7,4.7,4.8,4.8,4.7,4.7,4.7,4.8,4.7
2018,4.8,4.9,4.8,4.8,4.7,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.8
2017,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.9
2016,4.6,4.6,4.7,4.7,4.7,4.8,4.8,4.8,4.7,4.7,4.7,4.9,4.7
2015,4.6,4.6,4.6,4.6,4.6,4.7,4.8,4.8,4.7,4.7,4.7,4.7,4.7
2014,4.3,4.3,4.4,4.4,4.5,4.5,4.6,4.6,4.5,4.6,4.6,4.6,4.5
2013,4.0,4.0,4.0,4.1,4.2,4.2,4.3,4.3,4.2,4.1,4.1,4.2,4.1
2012,4.1,4.1,4.1,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.1
2011,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.2
2010,4.4,4.3,4.3,4.3,4.3,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3
2009,4.5,4.4,4.5,4.4,4.4,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4
2008,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.5
2007,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2006,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.6
2005,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.5,4.5,4.6,4.5
2004,4.7,4.6,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.5,4.5,4.6,4.6
2003,4.8,4.8,4.9,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8
2002,4.6,4.7,4.8,4.8,4.8,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8
2001,4.7,4.7,4.7,4.8,4.8,4.9,4.9,4.9,5.0,4.9,4.8,4.8,4.8
2000,5.0,5.0,5.0,4.9,4.9,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9
1999,5.2,5.2,5.2,5.0,5.0,5.0,5.1,5.0,5.0,5.0,5.0,5.0,5.1
1998,6.0,6.0,6.0,5.8,5.9,5.9,5.9,5.8,5.8,5.8,5.3,5.3,5.8
1997,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.1
1996,6.3,6.3,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.2,6.2
1995,6.6,6.5,6.6,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.5
1994,6.9,6.8,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.7,6.7,6.7,6.7
1993,7.1,7.1,7.1,7.1,7.1,7.2,7.1,7.1,6.9,6.9,7.0,7.0,7.1
1992,7.1,7.2,7.2,7.3,7.3,7.3,7.2,7.2,7.1,7.1,7.1,7.1,7.2
1991,7.2,7.2,7.2,7.2,7.2,7.3,7.2,7.2,7.2,7.1,7.1,7.2,7.2
1990,6.9,7.0,7.0,6.9,7.0,7.2,7.2,7.3,7.4,7.3,7.3,7.3,7.2
