Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnAvg
2020,66.5,65.8,65.9,58.4,60.3,65.0,64.5,64.3,64.6,66.1,65.9,65.8,
2019,67.7,67.9,67.9,67.9,67.9,68.5,68.1,67.9,67.7,66.6,66.5,66.1,67.6
2018,69.1,69.3,69.4,69.3,69.5,70.0,69.7,69.5,69.0,69.1,69.3,69.5,69.4
2017,68.7,68.8,69.1,69.6,70.0,70.7,70.7,70.6,70.2,70.3,70.5,70.6,70.0
2016,69.1,69.1,69.1,69.3,69.5,69.9,70.1,69.9,69.4,69.6,69.6,69.8,69.5
2015,69.7,69.6,70.0,70.2,70.6,71.1,71.2,71.0,70.4,70.6,70.6,70.8,70.5
2014,69.1,69.0,69.4,69.8,69.9,70.5,70.7,70.6,70.0,70.6,70.6,70.8,70.1
2013,67.9,67.9,68.1,69.0,69.4,70.1,70.4,70.2,70.1,70.3,70.2,70.7,69.5
2012,67.5,67.7,68.0,68.3,68.6,69.0,68.9,68.9,68.5,69.3,68.9,69.3,68.6
2011,66.2,66.1,66.5,67.2,67.5,68.1,68.2,68.2,67.8,68.2,68.2,68.7,67.6
2010,66.2,66.0,66.4,67.0,67.1,67.7,67.7,67.6,67.5,67.9,68.0,68.1,67.3
2009,68.9,68.2,67.9,67.3,67.4,67.8,67.5,67.3,67.3,67.5,67.4,67.6,67.7
2008,72.6,72.6,72.8,72.6,72.7,72.9,72.7,72.4,72.2,71.8,71.5,71.0,72.3
2007,72.0,72.1,72.4,72.9,73.3,74.0,73.9,73.7,73.6,74.1,73.9,74.4,73.4
2006,71.2,71.5,71.9,72.6,73.1,73.6,73.5,73.2,72.9,73.2,73.3,73.9,72.8
2005,71.0,70.9,71.4,71.4,71.6,72.0,72.2,72.6,72.8,73.1,73.4,74.2,72.2
2004,71.5,71.5,71.8,71.8,72.0,72.7,73.2,73.2,72.9,72.9,72.8,73.6,72.5
2003,71.9,72.1,72.6,72.0,72.2,72.9,72.5,72.6,72.5,72.6,72.9,73.4,72.5
2002,71.2,71.4,71.8,71.4,71.7,72.1,71.9,72.3,72.4,72.8,72.9,73.5,72.1
2001,74.3,74.6,74.8,73.2,73.6,74.0,73.4,73.3,73.0,73.4,73.1,73.4,73.7
2000,70.0,70.5,71.0,71.3,71.5,72.2,72.0,72.0,72.4,72.3,72.4,72.8,71.7
1999,69.2,69.3,69.7,70.1,70.5,70.7,70.4,71.0,70.7,70.5,71.0,71.2,70.4
1998,67.0,67.4,68.0,68.1,68.5,69.2,69.0,69.1,69.1,69.7,70.0,70.1,68.8
1997,65.2,65.7,66.3,66.6,66.8,67.1,66.5,67.0,66.8,67.4,67.4,68.0,66.7
1996,64.4,65.0,65.6,65.8,66.4,66.8,66.2,66.7,66.6,66.5,66.6,66.8,66.1
1995,64.8,64.8,65.4,65.3,65.5,66.2,65.7,66.0,66.3,66.1,66.1,66.6,65.7
1994,63.6,63.8,64.6,64.9,65.3,66.1,65.8,65.9,66.1,66.2,66.3,66.8,65.5
1993,64.3,64.5,64.6,65.1,65.8,66.0,65.6,65.7,65.4,65.5,65.7,66.1,65.4
1992,64.6,64.5,64.7,64.6,64.8,64.8,64.2,64.2,64.1,64.6,64.5,64.6,64.5
1991,66.5,66.0,66.3,66.7,66.7,66.7,65.8,65.7,65.6,66.2,66.3,66.6,66.3
1990,70.7,70.3,70.7,71.2,71.5,71.6,71.0,71.2,70.8,70.0,69.7,69.8,70.7
